AppID,Name,Releasedate,Requiredage,Price,DLCcount,Windows,Mac,Linux,Achievements,Developers,Publishers,Categories,Genres,Positive,Negative
388370,Nova Blitz,11-Jul-17,0,0,0,TRUE,TRUE,TRUE,0,Dragon Foundry,"Dragon Foundry,Hashbang Games","Single-player,Multi-player,PvP,Online PvP,Cross-Platform Multiplayer,Steam Trading Cards,In-App Purchases","Action,Free to Play,Indie,Massively Multiplayer,Strategy",118,43
612250,Eastwood VR,15-May-17,0,3.99,0,TRUE,FALSE,FALSE,3,RAV3 Interactive,RAV3 Interactive,"Single-player,Multi-player,PvP,Online PvP,Steam Achievements,Steam Trading Cards,Stats","Action,Indie,Simulation,Early Access",6,10
1665900,SHINORUBI,19-Jan-22,0,24.99,0,TRUE,FALSE,FALSE,45,Last Boss 88,Last Boss 88,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Remote Play on TV,Remote Play Together","Action,Indie,Early Access",8,3
1517770,Astrokicker,29-Jan-21,0,4.99,0,TRUE,FALSE,FALSE,8,"Quadrivo Software, LLC","Quadrivo Software, LLC","Single-player,Full controller support","Action,Indie,Early Access",3,0
1872050,Cosmic Monsters 2 Enclaves Dawn,01-Apr-22,0,11.99,0,TRUE,FALSE,FALSE,0,Marco Braun,Marco Braun,Single-player,"Adventure,Casual,Indie,RPG",0,0
485860,Impossible Quest,03-Jun-16,0,1.99,0,TRUE,FALSE,FALSE,5,Axel Sonic,Axel Sonic,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Adventure,Casual,Indie",211,81
727100,Orch Star,15-Aug-18,0,14.99,0,TRUE,FALSE,FALSE,22,Orch Star Studios,White Warlock AB,"Single-player,Multi-player,PvP,Online PvP,Cross-Platform Multiplayer,Steam Achievements,Steam Workshop,Steam Cloud,Includes level editor","Action,Indie,Strategy",26,6
1051940,The Artifacts,01-May-19,0,2.99,0,TRUE,FALSE,FALSE,0,Slap Happy Larry,Slap Happy Larry,Single-player,"Adventure,Casual,Indie",1,0
1093220,Eat this!,03-Jul-19,0,0.99,0,TRUE,FALSE,FALSE,0,Karel Hladky,Karel Hladky,Single-player,"Casual,Indie,Racing,Simulation,Sports",0,0
1071660,Ruine,16-May-19,0,4.99,0,TRUE,FALSE,FALSE,0,Potku,Potku,Single-player,"Action,Adventure,Indie,RPG,Early Access",15,0
590370,Tiny Troopers 2,31-May-17,0,5.99,0,TRUE,TRUE,FALSE,20,"Starloop Studios SL,Kukouri",Game Troopers,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Stats","Action,Casual,Indie",41,8
1457650,?????4,08-Jan-22,0,5.99,0,TRUE,FALSE,FALSE,0,"USERJOY Technology Co.,Ltd.","USERJOY Technology Co.,Ltd.",Single-player,"Action,Adventure,Casual,RPG,Strategy",21,15
255940,The 11th Hour,18-Oct-13,0,5.99,0,TRUE,TRUE,FALSE,0,Trilobyte Games,Nightdive Studios,Single-player,Adventure,83,113
281350,US and THEM,18-Mar-14,0,2.99,0,TRUE,FALSE,FALSE,0,Icehole Games,Strategy First,Single-player,Strategy,32,59
612140,Weebish Mines,20-Apr-17,0,2.99,0,TRUE,FALSE,FALSE,27,DXF Games,DXF Games,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud","Adventure,Indie",14,1
977690,Skyworld: Kingdom Brawl,02-Apr-19,0,2.49,0,TRUE,FALSE,FALSE,0,Vertigo Games,Vertigo Games,"Single-player,Multi-player,PvP,Online PvP,Cross-Platform Multiplayer","Indie,Strategy",42,11
315330,All Guns On Deck,28-Aug-15,0,12.99,0,TRUE,FALSE,FALSE,0,Decaying Logic,Decaying Logic,"Single-player,Partial Controller Support,Steam Cloud","Action,Adventure,Casual,Indie,RPG,Simulation,Strategy,Early Access",167,305
